Transcription Factor Binding Sites	Abs-Center-Pos	Involved-In-Regulation	Regulated-Entity	Regulator
BS00384	4347462.5d0	REG0-5805	PM00219	CPLX0-7797
BS0-7420	2323355	REG0-9067	PM00155	PC00027
BS474	461210	REG0-4974 // REG0-4969	PM589 // PM588	CPLX0-7705
BS0-8194	1237389	REG0-11421 // REG0-5283 // REG0-11413	PM562 // PM00540 // PM561	PD00353
BS00017	290341.5d0	REG0-4778	PM00007	CPLX0-228
BS0-10829		REG0-16396	TU5	CPLX0-7639
BS0-7312	4516748	REG0-5329	PM00605	EG11088-MONOMER
BS0-6863	3647989.5	REG0-6023	PM0-8643	PC00010
BS0-8287	4540625.5	REG0-11583	PM00560	PHOSPHO-BASR
BS-7102	2825449	REG0-5571	PM00178	CPLX0-226
BS0-3883	3544625.5d0	REG0-6223	PM0-5221	CPLX0-226
BS0-7015	42078.5d0	REG0-5647	PM00528	CPLX0-7797
BS00163	987162.5	REG0-15032 // REG0-15024 // REG0-9003 // REG0-4591	PM0-46528 // PM00066	PHOSPHO-OMPR
BS0-2845	4610967	REG0-15076 // REG0-5425	PM0-46534 // PM00529	PD00353
BS0-6623	1601388.5	REG0-10777 // REG0-5295	PM0-10233 // PM0-8241	CPLX0-226
BS0-33	4591403	REG0-6574	PM0-8	CPLX0-7748
BS0-3002		REG0-6306	PM0-4241	MONOMER0-155
BS0-1741	3667617.5	REG0-15214 // REG0-5008	PM0-46571 // PM461	EG12243-MONOMER
BS0-6956	624843	REG0-5410	PM00228	CPLX0-7639
BS00638	3600943.5	REG0-9001 // REG0-5659 // REG0-5514 // REG0-5452	PM00088 // PM00571 // PM00114	CPLX0-226
BS0-7149	42127.5d0	REG0-5646 // REG0-5160	PM00528 // PM339	CPLX0-7797
BS0-7809	1988019.5	REG0-10572	PM0-10449	CPLX0-226
BS00179	4207647.5	REG0-4621	PM00078	CPLX-123
BS0-7174	4360423	REG0-6042	PM00622	PD00288
BS0-7038	2312964	REG0-4567	PM00065	CPLX0-7748
BS0-7696	1360940	REG0-10273	PM0-10351	CPLX0-7797
BS0-8880	1226594	REG0-13223	TU0-8687	G7072-MONOMER
BS0-7764	2685759	REG0-10482	PM00415	CPLX0-7756
BS00156	2312877.5	REG0-14834 // REG0-5208 // REG0-4571	PM0-46465 // PM00401 // PM00065	PHOSPHO-OMPR
BS00180	2695627.5	REG0-4622	PM00079	CPLX-123
BS0-8332	1647874.5	REG0-11660 // REG0-11659	TU0-13328 // PM0-46242	EG10226-MONOMER
BS523	2634224.5	REG0-5950 // REG0-4977	PM00289 // PM591	CPLX0-226
BS0-8024	3667664.5	REG0-15195 // REG0-15194 // REG0-10978 // REG0-10977	PM0-46571 // PM461	EG12242-MONOMER
BS0-7794	374902	REG0-10519	PM0-10441	CPLX0-7756
BS562	1230522.5	REG0-8982 // REG0-4963	PM681	PD00288
BS0-5181	3656818.5	REG0-15117 // REG0-4833	PM0-46542 // PM928	PHOSPHO-TORR
BS0-1742	3667664.5	REG0-15215 // REG0-5007	PM0-46571 // PM461	EG12243-MONOMER
BS00386		REG0-5862	PM00143	CPLX0-7797
BS0-7973	708214	REG0-10901	PM0-10382	PD00266
BS0-7710	3522927.5	REG0-10384	PM0-10365	CPLX0-226
BS-7088	1103514.5	REG0-15175 // REG0-5349	PM0-46559 // PM00536	CPLX0-226
BS0-7527	1572099	REG0-15059 // REG0-9365	PM0-46530 // PM450	CPLX0-7705
BS00040	2246964	REG0-4803 // REG0-4799	PM00020 // PM00019	CPLX0-7639
BS0-8925	4374425	REG0-13283	TU0-14142	G7072-MONOMER
BS0-8891	2089164	REG0-14813 // REG0-13236	G0-9121 // TU0-13492	G7072-MONOMER
BS0-10678	29586	REG0-16168	TU00109	CPLX0-7748
BS0-6062	2512729.5	REG0-6106	PM0-7661	CPLX0-7672
BS45	329435	REG0-5433 // REG0-5432	PM00157 // PM00156	PHOSPHO-ARCA
BS0-3563	1821787	REG0-8992 // REG0-5118	PM183	CPLX0-8595 // CPLX0-8258
BS0-9000	3384362	REG0-13463	PM00150	MONOMER0-4276
BS0-7303	121631.5d0	REG0-5361 // REG0-4921	PM00014 // PM741	MONOMER0-162
BS0-7723	3801178.5	REG0-10423	PM0-10370	PD00406
BS105	2352542.5	REG0-4694 // REG0-4677	PM00039 // PM00037	CPLX0-7797
BS0-8206		REG0-11454	PM0-2482	CPLX0-8075
BS0-8641	4531839.5	REG0-12667	TU0-14193	CPLX0-8563
BS0-2743	4287656	REG0-15084 // REG0-9308 // REG0-6285 // REG0-5962	PM0-46541 // PM0-3923 // PM0-3921 // PM00280	CPLX0-7705
BS0-7225	1316180.5	REG0-6611	PM0-9320	PD00288
BS0-7705	1880025	REG0-10335	PM0-9688	CPLX0-7705
BS0-7381	49693	REG0-9035	PM00320	MONOMER0-162
BS00092	2352583.5	REG0-4704 // REG0-4683	PM00039 // PM00037	PD03576
BS0-8764	3348456	REG0-12901	PM0-8161	PD04132
BS0-7874	3658157	REG0-10724	PM0-5141	PHOSPHO-PHOP
BS0-4461	3658314.5	REG0-6175	PM0-5982	EG11544-MONOMER
BS0-2581	3847262.5	REG0-5900	PM00174	CPLX0-7754
BS0-8372	2737083.5	REG0-11824	PM0-9839	CPLX0-226
BS47	771086	REG0-5503	PM00141	PHOSPHO-ARCA
BS0-8955	157230	REG0-13341	TU0-14301	EG12386-MONOMER
BS0-7922	1103417.5	REG0-15157 // REG0-10814	PM0-46559 // PM00536	CPLX0-7748
BS0-3121	2313044	REG0-14833 // REG0-5209	PM0-46465 // PM00401	PD04418
BS0-8783	813111	REG0-12975	PM00351	MONOMER0-160
BS0-3473	4100750	REG0-5376	PM00293	PHOSPHO-ARCA
BS0-8436	3218915	REG0-15176 // REG0-12106	PM0-46561 // PM0-3521	PROTEIN-NRIP
BS0-6462	1636600	REG0-6083	PM0-8061	CPLX0-7639
BS0-7143		REG0-14963 // REG0-6455	PM0-46509 // PM0-1343	MONOMER0-155
BS0-8230		REG0-11486	TU0-13312	CPLX0-7797
BS00001	4215376	REG0-4756	PM00001	CPLX0-7605
BS0-8941	2259515.5	REG0-13306	TU0-13546	CPLX0-226
BS0-8244		REG0-11501	PM00563	G6165-MONOMER
BS0-8253	1686689.5	REG0-11519	PM0-46187	PD04418
BS00597	1103393.5	REG0-15172 // REG0-5352	PM0-46559 // PM00536	PHOSPHO-OMPR
BS0-6923	1277755	REG0-4532	PM00061	PHOSPHO-NARL
BS00608	3706023	REG0-5617	PM00546	PC00027
BS00118	4246505.5	REG0-4743 // REG0-4735	PM00048 // PM00047	MONOMER0-158
BS0-10671	1250915.5	REG0-16140	TU0-7981	G7518-MONOMER
BS0-921	1386596.5	REG0-5540	PM00097	PD00413
BS0-7353	127690	REG0-8948	PM00326	PHOSPHO-ARCA
BS0-2861	2911408.5	REG0-4940 // REG0-4939	PM623 // PM622	CPLX0-7705
BS0-6962	987184.5	REG0-15038 // REG0-4585	PM0-46528 // PM00066	CPLX0-226
BS0-10664	2934174	REG0-16133 // REG0-16132	TU00135 // TU00128	G7518-MONOMER
BS0-4022	2850689.5	REG0-5094	PM00574	CPLX0-7797
BS0-7689	1645876	REG0-10264	PM0-9527	CPLX0-7791
BS0-7598	4638107.5	REG0-9532	PM0-10215	PHOSPHO-CREB
BS785	4107438.5	REG0-15081 // REG0-4838	PM0-46536 // PM933	PC00061
BS0-6995	3270748	REG0-4957	PM643	CPLX0-7705
BS0-8235	1978384	REG0-11491	PM00184	EG11356-MONOMER
BS503	3950456.5d0	REG0-4948	PM00475	MONOMER0-155
BS0-7258	2344627	REG0-4556	PM00063	CPLX0-7705
BS00581	2461144.5	REG0-4475	PM00110	PHOSPHO-OMPR
BS0-7445	2426920.5	REG0-9162	PM0-9577	CPLX0-228
BS0-2943	4128587.5d0	REG0-6296	PM00490	CPLX0-7796
BS00212	3997917	REG0-5548	PM00100	PC00010
BS0-8452		REG0-12149	PM0-9596	CPLX0-7748
BS0-8914	3609251	REG0-13272	TU0-13944	G7072-MONOMER
BS567	472469	REG0-4897	PM687	CPLX0-8566
BS0-8049	1027879.5	REG0-11054	PM0-36218	PD01379
BS0-7276	1929776	REG0-4612	PM0-9400	CPLX0-7748
BS0-8435	1463518.5	REG0-12095	PM7	CPLX0-7731
BS0-1821	3058629	REG0-6369	PM0-2522	CPLX0-226
BS00781	2286141	REG0-5837	PM00652	CPLX0-7705
BS0-5741	2352250	REG0-4698	PM00039	PC00027
BS0-7935	1316180.5	REG0-10832	PM0-9320	G6761-MONOMER
BS0-6861	1810186.5	REG0-6021	PM0-8641	PC00010
BS0-7495	2352403	REG0-9329 // REG0-9318	PM00039 // PM00037	CPLX0-7705
BS0-8799		REG0-13111	TU00360	CPLX0-8285
BS0-1282		REG0-6017	PM00576	EG12123-MONOMER
BS0-8111	1103540.5	REG0-15148 // REG0-11212	PM0-46559 // PM00536	PC00061
BS0-4541	1986404	REG0-14905 // REG0-5489	PM0-46480 // PM00139	CPLX-172
BS0-7829	1988617	REG0-10605	PM0-10490	CPLX0-7639
BS0-7473	624846	REG0-9271	PM00228	CPLX0-7639
BS00260	1989603.5	REG0-5467	PM00125	MONOMER0-162
BS0-2844	4611004	REG0-15075 // REG0-5426	PM0-46534 // PM00529	PD00353
BS0-7577	4603208.5	REG0-9425 // REG0-9423	PM0-9879 // PM0-9877	PD00288
BS00277	4414193.5	REG0-14920 // REG0-5483	PM0-46490 // PM00136	PD00230
BS0-9012	2718678	REG0-13488	TU0-8742	PHOSPHO-ARCA
BS527	1298481	REG0-14884 // REG0-4891	PM0-46478 // PM00279	CPLX0-7705
BS00737	432122.5	REG0-5916	PM00337	CPLX0-7740
BS0-3471	4277421	REG0-5974	PM00297	PD00406
BS0-8413	2568178.5	REG0-12003	TU0-13634	EG10442-MONOMER
BS0-8466	2804894	REG0-12197	PM00423	PC00027
BS0-2546	3941415	REG0-14965 // REG0-6453	PM0-46509 // PM0-1343	CPLX0-7705
BS0-8199	1237259	REG0-11425 // REG0-5287 // REG0-11418	PM562 // PM00540 // PM561	PD00353
BS0-8567	1978426.5	REG0-12556	PM00184	EG12116-MONOMER
BS00337	1978466.5	REG0-5582	PM00184	CPLX0-226
BS00218	2982252	REG0-5557	PM00104	CPLX-172
BS0-8379		REG0-11893	PM0-10349	PHOSPHO-ARCA
BS0-8307	1215717.5	REG0-11629	PM0-46215	CPLX0-8597
BS0-8535	3719783.5	REG0-12533	PM00452	PD00288
BS0-8386		REG0-11900	PM0-10228	PD00353
BS00371	4299536.5	REG0-5773	PM00208	MONOMER0-183
BS0-7724	3801179	REG0-10424	PM0-10370	PD00365
BS0-2747	4287450	REG0-15085 // REG0-6291	PM0-46541 // PM0-3923	CPLX0-7705
BS00555	4097564.5d0	REG0-5988	PM00303	CPLX0-226
BS0-7623	1726000.5	REG0-9592	PM0-10220	PD01352
BS0-2544	4035106	REG0-14845 // REG0-6447	PM0-46466 // PM0-1341	CPLX0-7705
BS0-7235	3354424	REG0-14900 // REG0-5241	PM0-46479 // PM00254	PC00027
BS0-2553	3429173	REG0-15018 // REG0-6476	PM0-46525 // PM0-1351	CPLX0-7705
BS0-7011	1074132	REG0-6282	PM0-3847	PHOSPHO-PHOP
BS0-8242		REG0-15069 // REG0-11498	PM0-46534 // PM00529	EG11356-MONOMER
BS0-10776		REG0-16331	PM0-9740	MONOMER0-46
BS0-7810	1988049.5	REG0-10573	PM0-10449	CPLX0-226
BS0-6401	546505	REG0-6081	PM0-8002	MONOMER0-2221
BS00771	3915269	REG0-5320 // REG0-5301	PM00643 // PM00642	PD00266
BS360	4640590.5	REG0-5995 // REG0-5166	PM195 // PM201	CPLX0-7797
BS0-6924	1277772	REG0-4531	PM00061	PHOSPHO-NARL
BS00682	4118198.5d0	REG0-5756	PM00238	CPLX0-226
BS0-5446	3281910.5	REG0-6152	PM0-6883	G7630-MONOMER
BS822	2231726.5	REG0-6011	PM1001	CPLX0-226
BS0-7325	2838098.5	REG0-11515 // REG0-5608	PM0-9568 // PM0-9567	PC00061
BS0-2572	3581028	REG0-6341	PM0-45771	CPLX0-7639
BS0-5781	1556381.5	REG0-6097	PM0-7481	PHOSPHO-RCSB
BS0-8399		REG0-11961	PM0-44438	G6175-MONOMER
BS0-3721	1157671.5d0	REG0-6502	PM0-1301	CPLX0-226
BS0-8847	2892077	REG0-14475 // REG0-13166	EG10191 // TU0-13727	G7072-MONOMER
BS0-8739	4074605	REG0-12858 // REG0-12857	PM0-46395	CPLX0-226
BS0-8969	1631381	REG0-13370	TU0-13313	EG12386-MONOMER
BS0-8789	813381	REG0-12981	PM00099	MONOMER0-160
BS44	329367	REG0-5430	PM00156	PHOSPHO-ARCA
BS0-1182	710891	REG0-6439	PM0-1441	PD00214
BS0-8950	3877712	REG0-13336	TU0-14020	EG12386-MONOMER
BS0-3402		REG0-6277	PM0-4742	G7821-MONOMER
BS00614	2477703.5d0	REG0-5277	PM00516	CPLX0-226
BS00443		REG0-5253	PM00257	PD00353
BS0-6041	4551358.5d0	REG0-4982	PM101	PD03270
BS00094	2352532.5	REG0-4706 // REG0-4681	PM00039 // PM00037	PD03576
BS0-8894	2385822	REG0-13248 // REG0-13240	TU0-13575 // TU0-8731	G7072-MONOMER
BS0-8811		REG0-13128	PM0-46188	CPLX0-8563
BS0-10647		REG0-5616	PM00545	PD00288
BS0-8371	1015543.5	REG0-11823	PM0-46188	CPLX0-226
BS00511	3267270	REG0-5699	PM00168	PD00268
BS0-4781	4262729	REG0-6178	PM0-6041	EG12344-MONOMER
BS00245	260271	REG0-5459	PM00119	PHOSPHO-PHOB
BS0-7300	4404573.5	REG0-6208	PM00134	CPLX-123
BS0-8381		REG0-14866 // REG0-11895	PM0-46473 // PM0-10229	PD00288
BS0-8128		REG0-11243	PM00252	PD00288
BS0-5321	3730888.5	REG0-5045 // REG0-5040	PM70 // PM68	CPLX0-226
BS0-8137	3039191.5	REG0-11253	PM0-4381	CPLX0-7748
BS-7064	4215280	REG0-4750	PM00001	CPLX0-7605
BS0-7801	4124531	REG0-10557	PM00486	CPLX0-7740
BS0-7195		REG0-6609	PM0-9248	CPLX0-7797
BS304	42264.5	REG0-5162 // REG0-5652	PM339 // PM00528	CPLX0-8062
BS0-4181		REG0-5774	PM00208	PHOSPHO-NARL
BS0-7040		REG0-5740	PM00232	PHOSPHO-ARCA
BS0-8499		REG0-12329	PM00174	MONOMER0-1
BS0-7954	3216746	REG0-10881	PM0-9094	G7594-MONOMER
BS0-7759	348489.5	REG0-10477	PM0-7561	EG10087-MONOMER
BS00417	1795668	REG0-4889	PM00241	PC00027
BS0-7703	1400367	REG0-10333	PM0-10357	PHOSPHO-NARL
BS00027	406235	REG0-4791	PM00013	MONOMER0-162
BS0-8096		REG0-11116	TU0-8343	CPLX0-7797
BS0-8090	855849.5	REG0-12851 // REG0-12850 // REG0-11105 // REG0-11102	PM0-8714 // PM0-36231	CPLX0-226
BS-7076	2710120	REG0-5043	PM361	CPLX0-7748
BS0-8484	819859	REG0-12292	PM0-46349	G7947-MONOMER
BS0-7871	585724.5	REG0-10720	PM0-8203	PHOSPHO-PHOP
BS0-10810		REG0-16375	TU0-198701	CPLX0-7639
BS0-8882	1212950	REG0-13225	TU0-13157	G7072-MONOMER
BS-7077	4635373	REG0-6065	PM0-8184	PD00365
BS00786	3110290	REG0-5834	PM00656	CPLX0-7705
BS0-8083	1067924.5	REG0-11094	PM0-10013	PD01379
BS0-7658	3653875.5	REG0-10000	PM00137	EG12242-MONOMER
BS0-3141	866360.5d0	REG0-5348	PM0-4427	CPLX0-7797
BS0-2550	787630	REG0-15129 // REG0-6338	PM0-46553 // PM0-3582	CPLX0-7639
BS501	3950521	REG0-4950	PM00475	PD00353
BS0-2242	2810737	REG0-6330	PM00613	CPLX0-7418
BS0-7821	3730855	REG0-10593	PM68	CPLX-172
BS464	4200082.5	REG0-5037	PM586	CPLX0-7705
BS0-8802		REG0-13119	PM932	PHOSPHO-ARCA
BS-7104	3409993.5d0	REG0-4626	PM00028	CPLX0-226
BS0-5961	2240625.5	REG0-15136 // REG0-5388	PM0-46558 // PM00231	PD03028
BS0-7339	3669347	REG0-5413	PM0-9588	PD00214
BS0-8138	3867400.5	REG0-11254	PM0-4436	CPLX0-7748
BS00152	2344718.5d0	REG0-4563	PM00063	MONOMER0-160
BS0-7645	3178021.5	REG0-9783 // REG0-9781	PM0-10259 // PM0-10219	PD00406
BS0-4126	4494526.5d0	REG0-6240 // REG0-6236	PM0-4922 // PM0-4921	CPLX0-226
BS0-7476	710717	REG0-9275 // REG0-9274	PM00348 // PM00164	CPLX0-7639
BS00142	1279765.5	REG0-4523	PM00060	CPLX0-7797
BS0-7252	1330970	REG0-5089	PM00547	CPLX0-7705
BS00485	3911600	REG0-14973 // REG0-5942	PM0-46514 // PM00285	PHOSPHO-PHOB
BS0-6926	1277842	REG0-4529	PM00061	PHOSPHO-NARL
BS0-7776	1764424	REG0-10495	PM0-2801	CPLX0-7756
BS747	1165934	REG0-5799	PM00218	PC00027
BS0-7855	2071318	REG0-10680	PM0-2881	PD00214
BS0-7246	1330823	REG0-6381 // REG0-5084	PM00550 // PM00547	CPLX0-7705
BS0-7890	1523185.5	REG0-10757	PM0-10041	PD00365
BS0-4063	1788288.5	REG0-4788	PM00012	CPLX-125
BS114	1279736	REG0-4517	PM00060	PHOSPHO-NARL
BS00575	954594	REG0-5197 // REG0-5191	PM00354 // PM00353	PHOSPHO-NARL
BS0-7977	4635478	REG0-10905	PM00603	PD00266
BS0-8193	1237419	REG0-11420 // REG0-5282 // REG0-11412	PM562 // PM00540 // PM561	PD00353
BS0-7270	3354157	REG0-14893 // REG0-5248	PM0-46479 // PM00254	CPLX0-228
BS0-1541	4466258	REG0-5984	PM00299	CPLX0-7854
BS0-8784	813137	REG0-12976	PM00351	MONOMER0-160
BS-7081	997617.5d0	REG0-6006	PM169	G7071-MONOMER
BS0-1542	4466291	REG0-5983	PM00299	CPLX0-7854
BS0-8125	853064.5	REG0-11240	PM0-46156	CPLX0-7672
BS0-8053	1103335.5	REG0-15152 // REG0-11058	PM0-46559 // PM00536	PD01379
BS00057	940781.5	REG0-4818	PM00026	CPLX0-7797
BS00777	780440	REG0-5836	PM00647	CPLX0-7705
BS0-10430		REG0-15661	TU0-8733	G6737-MONOMER
BS00797		REG0-5865	PM00144	PC00027
BS0-7896	2629072.5	REG0-10767	PM0-36132	CPLX0-7797
BS0-8773	1056247	REG0-12937	TU0-8530	CPLX0-8083
BS0-9011	2644967	REG0-13487	TU0-13651	PHOSPHO-ARCA
BS0-5601	710890.5	REG0-6438	PM0-1441	PD00406
BS0-6933	4058152	REG0-5933 // REG0-4668	PM00312 // PM00034	PROTEIN-NRIP
BS0-10470		REG0-15824	TU0-8573	G7619-MONOMER
BS0-8326	348495	REG0-11651	PM0-7561	PHOSPHO-PHOB
BS0-8991	4525902	REG0-13451	PM0-9850	CPLX0-226
BS0-8162	3883742.5	REG0-11322	PM00466	CPLX0-7669
BS0-10635	1925362.5	REG0-16095	TU0-13434	PHOSPHO-OMPR
BS0-8267	1074150	REG0-11535	PM0-3847	CPLX0-8566
BS0-943	2344536.5	REG0-4558	PM00063	CPLX0-7669
BS0-7006	3374821.5	REG0-6405	PM0-2083	PHOSPHO-PHOP
BS0-8366	1148478	REG0-11816	PM0-46277	PD01520
BS0-8316		REG0-11638	PM0-44976	CPLX0-8597
BS-7095	2750990.5	REG0-5096	PM00420	CPLX0-226
BS0-7966	2178702.5	REG0-10894	PM0-8905	PC00061
BS0-7254	497998	REG0-4607	PM0-9365	PD00214
BS00517	3847239.5	REG0-5902	PM00174	CPLX0-7754
BS00373	2849875.5	REG0-5778	PM00210	MONOMER0-183
BS0-7317	3485983	REG0-5442	PM00161	CPLX0-7705
BS0-7161	3665998.5d0	REG0-6364	PM0-2441	CPLX0-7797
BS00767	3756670	REG0-5907	PM00187	CPLX0-7705
BS0-7178	4273938.5	REG0-6143 // REG0-6139 // REG0-5545 // REG0-5533	PM00500 // PM00499 // PM00098 // PM00091	PHOSPHO-ARCA
BS0-5062	792080.5	REG0-4664	PM00033	CPLX0-2021
BS150	1277852	REG0-5394	PM00214	CPLX0-7797
BS0-7914	1212289.5	REG0-10806	PM0-10021	PHOSPHO-PHOP
BS0-7447	1880042	REG0-9164	PM0-9688	PHOSPHO-NARL
BS0-3730	1157686	REG0-6513 // REG0-6509	PM0-1302 // PM0-1301	CPLX0-7705
BS0-1062	1157725.5d0	REG0-6503	PM0-1301	CPLX0-226
BS0-8498		REG0-12328	PM0-9849	MONOMER0-1
BS0-7651	1770329.5	REG0-9983	PM0-9596	PHOSPHO-RCSB
BS0-8892	2192770	REG0-13237	TU0-13517	G7072-MONOMER
BS0-8480	451584.5	REG0-12229	PM00142	MONOMER0-4180
BS0-8328	1031976.5	REG0-14853 // REG0-11655	PM0-46472 // PM00598	PHOSPHO-ARCA
BS0-8966	1434620	REG0-13367	TU0-13238	EG12386-MONOMER
BS0-7154	3267241.5d0	REG0-5695	PM00168	CPLX0-7797
BS0-6082		REG0-4923	PM262	PC00061
BS0-7846	4551486	REG0-10669 // REG0-10666	PM0-5201 // PM101	PD00214
BS0-7939	1583976	REG0-10841	PM0-9828	PHOSPHO-PHOP
BS0-7716	1212160.5	REG0-10396	PM0-10021	CPLX0-7797
BS0-3841	4551375.5	REG0-6220 // REG0-4980	PM0-5201 // PM101	CPLX0-226
BS0-8819	1518800	REG0-14720 // REG0-13137	G6758 // TU0-13272	G7072-MONOMER
BS0-8609		REG0-12612	TU0-8755	G7619-MONOMER
BS0-8907	3220911	REG0-13261	TU0-8572	G7072-MONOMER
BS0-2501	1832091.5	REG0-6485	PM0-1163	CPLX0-228
BS54	3354294	REG0-14896 // REG0-5245	PM0-46479 // PM00254	PD00353
BS00229	85348	REG0-11407 // REG0-4481	PM00323 // PM00111	PD00353
BS0-7957	3216547	REG0-10884	PM0-36183	CPLX0-7639
BS0-1023	795057.5d0	REG0-5124	PM521	CPLX0-6
BS0-7823	251967.5	REG0-10595	PM0-9802	PC00010
BS0-3464	1166043	REG0-5793	PM00218	PHOSPHO-ARCA
BS00442	3599889	REG0-5252	PM00256	MONOMER0-155
BS50	1547263	REG0-5783	PM00217	PHOSPHO-NARL
BS0-7872	3656823	REG0-15266 // REG0-15101 // REG0-10723 // REG0-10721	PM0-46582 // PM0-46542 // PM0-5143 // PM928	PHOSPHO-PHOP
BS0-8629	997859.5	REG0-12662	TU0-13094	CPLX0-8563
BS00482	848994	REG0-14940 // REG0-5764	PM0-46500 // PM00243	PD00214
BS0-7739	2520851	REG0-5833 // REG0-10453	PM00654 // PM331	CPLX0-7705
BS00539	4097512	REG0-5986	PM00303	CPLX-124
BS0-8456		REG0-12154	PM00454	G6745-MONOMER
BS0-7892	605496.5	REG0-10759	PM0-4864	PD04418
BS00259	4267123.5d0	REG0-5463	PM00124	MONOMER0-162
BS0-8167	3957882	REG0-15079 // REG0-11328 // REG0-11327	PM0-46535 // PM00041 // PM00128	PD00200 // CPLX0-7715
BS42	1488033	REG0-6003	PM324	PHOSPHO-ARCA
BS0-1924	1031990	REG0-14859 // REG0-5325	PM0-46472 // PM00598	PHOSPHO-NARP
BS0-3804		REG0-5673	PM00636	EG11544-MONOMER
BS766	131406	REG0-4935	PM263	PHOSPHO-ARCA
BS0-3701	2601065.5d0	REG0-4855	PM787	CPLX0-7797
BS0-7619	2167071.5	REG0-14909 // REG0-14907 // REG0-9584	PM0-46482 // PM0-46481 // PM0-10223	CPLX0-226
BS-7083	4432021	REG0-6596	PM-8827	CPLX0-7756
BS0-8485	2741759	REG0-12293	PM0-46350	G7947-MONOMER
BS0-7971	4111660.5	REG0-14951 // REG0-10899	PM0-46503 // PM0-10170	PC00061
BS00702	412485.5	REG0-5497	PM00140	CPLX0-226
BS0-942	2344564.5	REG0-4559	PM00063	CPLX0-7669
BS0-1766	222739.5	REG0-6367	PM0-2482	CPLX0-7796
BS0-8231	2214830	REG0-15126 // REG0-11487	PM0-46550 // PM0-36161	EG11356-MONOMER
BS0-6482	3656909	REG0-15114 // REG0-4837	PM0-46542 // PM928	PD00288
BS0-8403	3334790.5	REG0-11981	PM0-46314	CPLX0-7916
BS0-9001	3384386	REG0-13464	PM00150	MONOMER0-4276
BS0-7856	2512810	REG0-10681	PM0-7661	PD00214
BS00704	4124552	REG0-5233	PM00486	CPLX0-7740
BS0-8369	2143229.5	REG0-11821	TU00370	MONOMER-60
BS-7098	794999.5d0	REG0-5123	PM521	CPLX0-226
BS00232	85495	REG0-11404 // REG0-4484	PM00323 // PM00111	PD00353
BS0-7732		REG0-10433	PM0-10375	PHOSPHO-DPIA
BS0-3401		REG0-6278	PM0-4744	G7821-MONOMER
BS0-3348	1293029	REG0-5677	PM00191	CPLX0-7705
BS0-4141	2460504	REG0-6201	PM0-5561	PD01520
BS0-7587	1157682.5	REG0-9468	PM0-1301	PD00406
BS108	2303638.5d0	REG0-4876	PM125	CPLX0-7797
BS0-6963	987144.5	REG0-15039 // REG0-4584	PM0-46528 // PM00066	CPLX0-226
BS0-7686	1645902.5	REG0-10261	PM0-9527	CPLX0-7928
BS00799	1755484.5d0	REG0-5386	PM00585	PC00061
BS0-10871	167237	REG0-16440	TU0-198712	CPLX0-7639
BS0-2965	4132552.5	REG0-4504	PM00054	CPLX0-7796
BS00352	2876453	REG0-5816	PM00198	CPLX0-2781
BS00476	4287601	REG0-5960	PM00280	PHOSPHO-NARL
BS0-3745	3906758.5	REG0-11992 // REG0-6250	PM0-46317 // PM0-5042	CPLX0-226
BS00022	2741305.5	REG0-4783	PM00010	MONOMER0-162
BS0-7337		REG0-4564	PM0-9579	PD00288
BS0-8401	922788.5	REG0-11979	PM00597	CPLX0-226
BS00389	1787206.5	REG0-5402	PM00222	PC00061
BS00758	2533565.5d0	REG0-5273 // REG0-5224	PM00635 // PM00410	CPLX0-226
BS0-8184	3128132	REG0-11384	PM166	EG11088-MONOMER
BS0-8002		REG0-10934	PM0-7941	PD00288
BS0-3466	1166057	REG0-5791	PM00218	PHOSPHO-ARCA
BS0-7171	4360235	REG0-6045	PM00622	PD00288
BS0-8917	3674780	REG0-13275	TU0-13968	G7072-MONOMER
BS00673		REG0-14862 // REG0-5322	PM0-46472 // PM00598	PD00967
BS0-7523	3667701	REG0-15206 // REG0-9361	PM0-46571 // PM461	CPLX0-7705
BS00047	3990997	REG0-4805	PM00023	CPLX0-226
BS0-4463	3658146.5	REG0-6173	PM0-5982	EG11544-MONOMER
BS0-8422	89613	REG0-12015	PM0-1101	EG11084-MONOMER
BS0-7905	17392	REG0-10797	PM00282	MONOMER0-46
BS0-7661	3088011.5	REG0-10085	PM0-7421	MONOMER-53
BS187		REG0-5863	PM00144	CPLX0-7797
BS444	1237581	REG0-5291 // REG0-5028 // REG0-5021	PM00540 // PM562 // PM561	PD00353
BS0-6806	3493922	REG0-4541	PM00062	PHOSPHO-NARP
BS0-8329	3712095.5	REG0-11656	PM0-46200	CPLX0-8309
BS0-8767	4277418	REG0-12904	PM00297	PD04132
BS0-8923	4297166	REG0-13281	TU0-14127	G7072-MONOMER
BS0-7758	348500.5	REG0-10476	PM0-7561	EG10087-MONOMER
BS0-2462	3219265	REG0-15178 // REG0-6335	PM0-46561 // PM0-3521	PROTEIN-NRIP
BS0-7909	17455	REG0-10801	PM00282	MONOMER0-46
BS00203	1020952	REG0-5535	PM00092	PC00010
BS00226	4031005	REG0-4468	PM00109	PD01520
BS00132	4132537.5d0	REG0-4507	PM00054	CPLX0-7796
BS0-8897	2490539	REG0-13251	TU0-13609	G7072-MONOMER
BS00730	4100758	REG0-5529	PM00089	PC00027
BS0-7768	2231827	REG0-10487	PM1001	CPLX0-7756
BS0-8798		REG0-13110	PM00159	CPLX0-8285
